ML_CATALOG_NUMBERS,DATA_TYPE,XSIZE,YSIZE
21082721,photo,1200,798
21082731,photo,1200,798
21082741,photo,1200,800
21082751,photo,917,1200
21082761,photo,1200,800
21082771,photo,1041,694
21082781,photo,1200,800
21082831,photo,1200,675
21082841,photo,1200,800
21082851,photo,1200,787
21082861,photo,1200,800
21082871,photo,1200,675
21082881,photo,1200,800
21082891,photo,1200,675
21082901,photo,1200,675
21082911,photo,1200,800
21083301,photo,1200,797
21083311,photo,1200,800
21083321,photo,1200,800
21083331,photo,1200,800
21083361,photo,1200,800
21083371,photo,1200,800
21083381,photo,1200,800
21083391,photo,1200,800
21083401,photo,1200,797
21098951,photo,1200,800
21099071,photo,1200,798
21099081,photo,1200,798
21099091,photo,1200,755
21099101,photo,1200,800
21099121,photo,1200,904
21099171,photo,1200,800
21099191,photo,1200,800
21099211,photo,1200,900
21099231,photo,1200,798
21099261,photo,1200,798
21099331,photo,1200,800
21099381,photo,1200,800
21099451,photo,1200,799
21099511,photo,1200,800
21099521,photo,798,1200
21099531,photo,1200,798
21099541,photo,1200,798
21099561,photo,1200,800
21099601,photo,800,1200
21099631,photo,1200,788
21099651,photo,1200,678
21099671,photo,1200,800
21099711,photo,1200,798
21099721,photo,1200,798
21099741,photo,1200,811
21099751,photo,1200,734
21099761,photo,1200,800
21099771,photo,1200,747
21099781,photo,1200,798
21099811,photo,1200,800
21099821,photo,1200,798
21099831,photo,1200,798
21099841,photo,1200,798
21099921,photo,1200,797
21099931,photo,1200,797
21099941,photo,1200,797
21099971,photo,1200,798
21099981,photo,1200,798
21099991,photo,1200,800
21100091,photo,1200,798
21100131,photo,1200,800
21100151,photo,1200,800
21100191,photo,800,1200
21100201,photo,1200,800
21100241,photo,1200,798
21100291,photo,798,1200
21100301,photo,798,1200
21100311,photo,798,1200
21100331,photo,1200,798
21100351,photo,1200,900
21100401,photo,798,1200
21100421,photo,800,1200
21100431,photo,800,1200
21100451,photo,913,1200
21100471,photo,1200,684
21100481,photo,977,1200
21100501,photo,1200,798
21100561,photo,800,1200
21100571,photo,1200,798
21100581,photo,1089,907
21100671,photo,1200,800
21100701,photo,1200,797
21100721,photo,1200,800
21100731,photo,1200,800
21100761,photo,1200,635
21100851,photo,1200,800
21100871,photo,1200,800
21100941,photo,1200,800
21100951,photo,1200,800
21100961,photo,1200,800
21100971,photo,1200,800
21101001,photo,1200,664
21101011,photo,1200,653
21101021,photo,1200,798
21101031,photo,987,656
21101041,photo,1200,798
21101081,photo,798,1200
21101091,photo,1200,857
21101101,photo,1200,798
21101111,photo,1200,798
21101121,photo,1200,798
21101141,photo,1200,798
21101151,photo,1200,798
21101161,photo,1200,798
21101171,photo,1200,798
21101191,photo,1200,798
21101231,photo,1200,798
21101241,photo,1200,798
21101281,photo,1200,798
21101291,photo,1200,798
21101301,photo,1200,798
21101311,photo,1200,798
21101331,photo,1200,798
21101351,photo,1200,798
21101371,photo,1200,798
21101391,photo,1200,798
21101401,photo,1200,798
21101411,photo,1200,800
21101421,photo,1200,798
21101431,photo,1200,798
21101441,photo,1200,798
21101451,photo,1200,901
