SUBMISSION_ID,COMMON_NAME,SCIENTIFIC_NAME,TAXONOMIC_ORDER,COUNT,STATE_PROVINCE,COUNTY,LOCATION_ID,LOCATION,LATITUDE,LONGITUDE,DATE,TIME,PROTOCOL,DURATION_MIN,ALL_OBS_REPORTED,DISTANCE_TRAVELED_KM,AREA_COVERED_HA,NUMBER_OF_OBSERVERS,BREEDING_CODE,OBSERVATION_DETAILS,CHECKLIST_COMMENTS,ML_CATALOG_NUMBERS,PROVINCE_FR,PROVINCE_EN,COUNTRY_FR,COUNTRY_EN,DATE_FR,DATE_EN,MJD,MJD_END,LOCSTR,ENGLISH_NAME,ORDER,FAMILY,SORT,EBIRD_CODE,SCIENTIFIC_NAME_NOSSP,YEAR
S23806874,Oie des neiges,Anser caerulescens,242,1,CA-QC,Montréal,L2880076,Canal de Lachine,45.431389,-73.664167,2015-06-06,05:45 AM,eBird - Traveling Count,120,1,3.,nan,1,nan,nan,nan,22527061,Québec,Quebec,Canada,Canada,,,57179.239583333336,57179.32291666667,452553N733951W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,2015
S96800039,Oie des neiges,Anser caerulescens,242,60,CA-QC,Montréal,L5914558,Côte-des-Neiges,45.4858176,-73.6294305,2021-10-28,08:34 AM,eBird - Traveling Count,42,1,1.789,nan,1,nan,"en deux voiliers, très haut au-dessus de la ville",nan,nan,Québec,Quebec,Canada,Canada,,,59515.356944444444,59515.38611111111,452908N733745W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,2021
S38190088,Oie des neiges,Anser caerulescens,242,2,CA-QC,Montréal,L3775282,Parc René-Lévesque,45.4285655,-73.6812991,2017-07-17,12:53 PM,eBird - Traveling Count,55,1,1.5,nan,1,nan,"Surprenant en cette saison dans la région de Montréal. Pas de doute, il y avait bien deux individus, je les ai vus en même temps.",nan,63597021 63624511,Québec,Quebec,Canada,Canada,,,57951.53680555556,57951.575000000004,452542N734052W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,2017
S69528472,Oie des neiges,Anser caerulescens,242,1,CA-QC,Montréal,L351551,Parc des Rapides,45.4277985,-73.5921872,2020-05-23,03:59 PM,eBird - Traveling Count,84,1,2.29,nan,2,nan,nan,nan,237928131,Québec,Quebec,Canada,Canada,,,58992.665972222225,58992.72430555556,452540N733531W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,2020
S69586082,Oie des neiges,Anser caerulescens,242,3,CA-QC,Montréal,L351551,Parc des Rapides,45.4277985,-73.5921872,2020-05-24,03:44 PM,eBird - Traveling Count,114,1,3.13,nan,2,nan,nan,nan,nan,Québec,Quebec,Canada,Canada,,,58993.65555555555,58993.73472222222,452540N733531W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,2020
S69809868,Oie des neiges,Anser caerulescens,242,1,CA-QC,Montréal,L351551,Parc des Rapides,45.4277985,-73.5921872,2020-05-29,03:24 PM,eBird - Traveling Count,105,1,2.84,nan,2,nan,nan,nan,nan,Québec,Quebec,Canada,Canada,,,58998.64166666667,58998.714583333334,452540N733531W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,2020
S56576503,Oie des neiges,Anser caerulescens,242,1,CA-QC,Papineau,L2145150,PN de Plaisance,45.6006057,-75.0858823,1987-05-03,nan,Historical,190,1,nan,nan,1,nan,nan,Feuillet d'ÉPOQ no 165299. Observateur : Jean-Pierre Artigau.,nan,Québec,Quebec,Canada,Canada,,,46918.5,46918.631944444445,453602N750509W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,1987
S40417219,Oie des neiges,Anser caerulescens,242,2,CA-QC,Papineau,L2145150,PN de Plaisance,45.6006057,-75.0858823,1996-05-10,nan,Historical,240,1,nan,nan,2,nan,nan,"Feuillet d'ÉPOQ no 294262. Observateurs : Étienne Artigau, J Sou.",nan,Québec,Quebec,Canada,Canada,,,50213.5,50213.666666666664,453602N750509W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,1996
S39795748,Oie des neiges,Anser caerulescens,242,5,CA-QC,Papineau,L6309505,Parc national de Plaisance,45.6,-75.13333,1989-04-08,nan,Historical,150,1,nan,nan,2,nan,nan,"Feuillet d'ÉPOQ no 167249. Observateurs : Jean-Pierre Artigau, Étienne Artigau.",nan,Québec,Quebec,Canada,Canada,,,47624.5,47624.604166666664,453600N750759W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,1989
S40487923,Oie des neiges,Anser caerulescens,242,400,CA-QC,Papineau,L6309505,Parc national de Plaisance,45.6,-75.13333,1989-04-16,nan,Historical,60,1,nan,nan,1,nan,nan,Feuillet d'ÉPOQ no 167278. Observateur : Étienne Artigau.,nan,Québec,Quebec,Canada,Canada,,,47632.5,47632.541666666664,453600N750759W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,1989
